,Ax,Ay,Az,Sensor Index
586,-6,0,8,2
587,10,3,-11,3
588,-1,-9,19,0
589,12,-3,-8,1
590,5,191,-3,2
591,-13,-8,0,3
592,10,-9,-4,0
593,0,-3,3,1
594,-6,-12,-3,2
595,-1,-20,12,3
596,-1,-9,7,0
597,-11,-3,-8,1
598,5,0,8,2
599,-1,-8,0,3
600,22,-33,7,0
601,12,-3,3,1
602,5,-12,-15,2
603,10,-8,24,3
604,-193,-21,-4,0
605,0,-3,-8,1
606,-6,0,-3,2
607,-13,-8,12,3
608,-1,-21,-16,0
609,12,8,15,1
610,-6,0,-3,2
611,-1,3,-11,3
612,22,2,-4,0
613,0,8,15,1
614,-6,11,-3,2
615,-1,-32,0,3
616,-13,14,7,0
617,0,8,27,1
618,5,0,-3,2
619,-13,3,12,3
620,-25,-21,-4,0
621,0,20,-20,1
622,17,-24,8,2
623,46,-8,12,3
624,34,2,7,0
625,12,8,-8,1
626,-18,-24,20,2
627,10,3,-179,3
628,-1,2,-16,0
629,12,8,3,1
630,173,11,-39,2
631,-13,-8,0,3
632,34,2,-16,0
633,0,8,15,1
634,5,-24,-15,2
635,10,27,-23,3
636,10,-9,7,0
637,-11,8,27,1
638,-18,-180,-27,2
639,22,3,0,3
640,-25,2,-4,0
641,0,-3,15,1
642,-6,-12,8,2
643,-13,-8,-179,3
644,-1,2,-4,0
645,0,-15,-32,1
646,-6,11,-3,2
647,-13,-20,-179,3
648,-25,-21,7,0
649,12,-3,3,1
650,5,0,20,2
651,10,15,-11,3
652,10,14,7,0
653,0,-3,3,1
654,5,-180,8,2
655,10,-8,-11,3
656,22,14,-16,0
657,0,8,-8,1
658,-6,-12,8,2
659,-1,-8,12,3
660,-1,-9,7,0
661,0,-195,3,1
662,-6,11,8,2
663,34,-8,192,3
664,-25,14,7,0
665,0,-3,-44,1
666,-6,-24,8,2
667,-25,3,-11,3
668,-1,2,19,0
669,-179,-3,-20,1
670,-18,11,8,2
671,-37,3,12,3
672,10,14,-4,0
673,-11,-3,-20,1
674,5,-12,-15,2
675,10,3,12,3
676,-1,2,7,0
677,-11,8,-8,1
678,-198,-12,-3,2
679,-13,3,0,3
680,-1,14,-16,0
681,0,-3,-8,1
682,-6,0,8,2
683,10,15,12,3
684,10,-9,-4,0
685,12,-3,39,1
686,-6,-24,-15,2
687,10,-44,-179,3
688,-1,2,-4,0
689,0,-3,15,1
690,5,-12,8,2
691,10,15,0,3
692,-13,14,-4,0
693,12,20,27,1
694,17,11,8,2
695,-1,15,-35,3
696,10,14,-4,0
697,12,-3,-20,1
698,5,0,-39,2
699,22,3,0,3
700,178,-21,31,0
701,0,8,3,1
702,5,11,20,2
703,10,3,0,3
704,-1,14,-40,0
705,192,-3,3,1
706,5,0,-3,2
707,-1,15,0,3
708,10,2,-4,0
709,12,-3,15,1
710,17,11,-3,2
711,34,3,12,3
712,-37,-9,19,0
713,0,-3,27,1
714,17,11,-3,2
715,10,-8,12,3
716,166,26,-52,0
717,-11,8,-32,1
718,-30,0,-15,2
719,10,-20,192,3
720,10,2,-4,0
721,0,-15,51,1
722,-18,0,20,2
723,-37,15,12,3
724,10,26,-4,0
725,0,8,-20,1
726,-6,11,-27,2
727,10,3,-11,3
728,10,2,-28,0
729,-179,8,-20,1
730,5,11,-15,2
731,10,15,12,3
732,-1,14,19,0
733,0,8,15,1
734,5,0,32,2
735,-1,-8,12,3
736,-1,-21,7,0
737,-23,8,-44,1
738,-6,0,-27,2
739,34,3,12,3
740,-13,-33,-28,0
741,-11,8,15,1
742,-6,-180,-3,2
743,22,-32,-179,3
744,22,14,-4,0
745,0,8,-20,1
746,-6,-24,8,2
747,22,-8,12,3
748,-1,-21,7,0
749,12,8,15,1
750,17,0,-3,2
751,-13,3,-11,3
752,-25,14,-16,0
